# Livello 4 - SnakeRunner
[Obstacles] 



4,3 









4,16 


4,22 
4,23 
4,24 
4,25 


4,28 








 
8,16 
8,17 
8,18 
8,19 
8,20 
8,21 


8,24 
12,0 
12,1 
12,2 
12,3 
12,4 
 


12,8 
12,12 






13,6
14,6



12,28 




16,9 
16,10

 
16,16 
16,17 
16,18 
16,19 
16,20 
16,21 
16,22 
16,23 
16,24 
20,0 
20,1 
20,2 
20,3 
20,4 
20,5 
20,6 
20,7 
20,8 
20,12 
20,13 
20,14 
20,15 
20,16 
20,17 
20,18 
20,19 
20,20 
20,24 
20,25 
20,26 
20,27 
20,28 



24,8 
24,9 
24,10 
24,11 
24,12 

 
 
 

28,0 
28,1 
28,2 
28,3 
28,4 
28,5 
28,6 
28,7 
28,8 
 

28,14 
28,15 
28,16 
28,17 
28,18 
28,19 
28,20 
28,24 
28,25 



32,4 
32,5 
32,6 
32,7 
32,8 
32,9 
32,10 
32,11 
32,12 
32,13 
32,14 
32,15 
32,16 
32,17 
32,18 
32,19 
32,20 
32,21 
32,22 
32,23 
32,24 


 




10,4 
11,4 
12,4 




20,4 
21,4 
22,4 
26,4 
27,4 
28,4 


 




8,8 
9,8 
10,8 


16,8 
17,8 
18,8 
19,8 
20,8 

 

 
28,8 
29,8 
30,8 
31,8 
32,8 
33,8 
34,8 
0,12 
1,12 
2,12 
3,12 
4,12 
5,12 


 
12,12 
13,12 
14,12 


20,12 
21,12 
22,12 
 



3,16 
4,16 
5,16 
6,16 
7,16 
8,16 
9,16 
10,16 


16,16 
17,16 
18,16 
19,16 
20,16 
21,16 
22,16 
26,16 
27,16 
28,16 
29,16 
30,16 
31,16 
32,16 
33,16 
34,16 
 





6,20 


12,20 
13,20 

18,20 
19,20 
20,20 
21,20 
22,20 
26,20 
27,20 
28,20 
29,20 
30,20 
2,24 
3,24 

5,24 
6,24 
7,24 
8,24 
9,24 
10,24 
14,24 
15,24 
16,24 
17,24 
18,24 
19,24 
20,24 



 
28,24 



32,24 
33,24 
34,24

0,4
1,4
2,4
3,4

[Collectibles] 
6,6,BOMB 
14,10,BOMB 
22,6,BOMB 
30,10,BOMB 
6,18,BOMB 
14,22,BOMB 
22,18,BOMB 
30,22,BOMB 
2,2,FOOD 
2,26,FOOD 
10,6,FOOD 
10,22,FOOD 
18,10,FOOD 
26,6,FOOD 
26,22,FOOD 
34,2,FOOD 
34,26,FOOD 
18,2,CLOCK 
18,26,LIFE_BOOST 

7,1,LIFE_BOOST
1,19,LIFE_BOOST
16,3,LIFE_BOOST
18,14,LIFE_BOOST
25,26,LIFE_BOOST
9,14,FOOD
34,12,FOOD
24,2,KEY
32,2,FLAG
34,9,BOMB

[Doors]
32,1
32,3
33,2
31,2
